title,year,duration,votes,meta_score,budget,opening_weekend_gross,gross_worldwide
"Wonder Woman 1984",2020,151,300000,60.0,200000000,16701957,169601036
"Fantasy Island",2020,109,61000,22.0,7000000,12310420,49447308
"The New Mutants",2020,94,96000,43.0,67000000,7037017,49169594
"Like a Boss",2020,83,16000,33.0,29000000,10011272,30399490
"The War with Grandpa",2020,94,26000,34.0,0,3623880,43387638
"Unhinged",2020,90,83000,40.0,33000000,601032,44331465
"The Photograph",2020,106,6400,62.0,16000000,12181865,20690779
"Underwater",2020,95,103000,48.0,80000000,7008297,40882928
"The Turning",2020,94,17000,35.0,14000000,6950045,19428166
"Gretel & Hansel",2020,87,37000,64.0,5000000,6154007,22304357
"Monster Hunter",2020,103,71000,47.0,60000000,2201269,42145959
"Honest Thief",2020,99,60000,46.0,30000000,0,31220247
"The Way Back",2020,108,55000,66.0,0,8170315,15490514
"News of the World",2020,118,98000,73.0,38000000,2250430,12668325
"Brahms: The Boy II",2020,86,22000,29.0,10000000,5823006,20311536
"Bloodshot",2020,109,88000,44.0,45000000,9176695,39861118
"Impractical Jokers: The Movie",2020,92,7500,39.0,3000000,2607049,10691091
"Come Play",2020,96,19000,58.0,0,3119875,13182254
"Emma.",2020,124,67000,71.0,10000000,234482,25932444
"I Still Believe",2020,116,14000,41.0,12000000,9103614,16069730
"Let Him Go",2020,113,37000,63.0,0,4000470,10835686
"Freaky",2020,102,77000,67.0,5000000,3600355,18073433
"Downhill",2020,86,14000,49.0,0,4622018,8899195
"The Night House",2020,107,72000,68.0,0,2859409,15437703
"The Courier",2020,112,78000,65.0,0,1885829,26001227
"Promising Young Woman",2020,113,223000,72.0,0,719305,18854166
"Fatale",2020,102,15000,42.0,0,918112,7031289
"The Hunt",2020,90,142000,50.0,14000000,5304455,10550350
"The Rhythm Section",2020,109,20000,45.0,50000000,2715384,5989583
"Zola",2020,86,19000,76.0,0,1200013,4998097
"The SpongeBob Movie: Sponge on the Run",2020,91,24000,65.0,60000000,865824,4810790
"The Broken Hearts Gallery",2020,109,11000,57.0,0,1126401,4781389
"Nomadland",2020,107,192000,87.0,5000000,503000,39458207
"Bill & Ted Face the Music",2020,91,55000,65.0,0,1125007,6274027
"Minari",2020,115,103000,89.0,2000000,193460,15288578
"The Empty Man",2020,137,43000,0,0,1310326,4796993
"My Boyfriend's Meds",2020,100,520,0,3300000,1396140,6292780
"Dream Horse",2020,113,7400,68.0,0,794741,6572790
"Finding You",2020,119,9500,41.0,0,920476,3326885
"Words on Bathroom Walls",2020,110,15000,61.0,0,432968,3151849
"After We Collided",2020,105,41000,14.0,0,422899,47990414
"Half Brothers",2020,96,4400,30.0,0,700160,3274339
"Scoob!",2020,93,31000,43.0,0,0,28588425
"The Father",2020,97,211000,88.0,6000000,0,24048935
