title,year,duration,votes,meta_score,budget,opening_weekend_gross,gross_worldwide
"Gaia",2021,96,7300,64.0,0,0,47863
"Mystery of the Kingdom of God",2021,91,136,0,0,12245,17316
"Ascension",2021,97,4300,84.0,0,0,17200
"Beba",2021,79,242,73.0,0,4862,16254
"Once Upon a Time in Uganda",2021,94,212,75.0,0,9400,18679
"Huda's Salon",2021,91,1300,69.0,0,7752,54406
"How It Ends",2021,82,4700,57.0,0,0,16104
"First Date",2021,103,753,52.0,0,8882,15974
"The Laws of the Universe: The Age of Elohim",2021,119,52,0,0,8183,5931053
"Even in Dreams",2021,120,75,0,0,6368,15671
"She Will",2021,95,3500,73.0,0,8885,40958
"We Broke Up",2021,80,1500,53.0,0,11003,15063
"American Traitor: The Trial of Axis Sally",2021,109,3500,25.0,0,0,2011012
"We Need to Do Something",2021,97,4100,48.0,0,6009,15318
"Bring Your Own Brigade",2021,119,377,81.0,0,8334,13375
"When Men Were Men",2021,96,44,0,35000,1560,13027
"I Was a Simple Man",2021,100,460,83.0,0,7525,12669
"The Man in the Basement",2021,114,875,75.0,4560000,3450,462250
"Olga",2021,85,1300,77.0,0,342,51125
"The Year of the Everlasting Storm",2021,115,372,72.0,0,2624,12245
"Clara Sola",2021,106,1800,77.0,0,6120,33533
"Fire in the Mountains",2021,84,249,0,0,1798,12038
"13 Fanboy",2021,101,1400,0,105507,9538,11572
"Medusa",2021,132,905,67.0,0,2233,13684
"Fire Music",2021,88,163,85.0,0,0,11288
"Millie Lies Low",2021,100,260,60.0,0,855,50344
"Barbarians",2021,89,3000,57.0,0,7538,13564
"Sabaya",2021,90,773,86.0,0,0,14280
"Average Joe",2021,87,151,0,0,2825,9176
"In Front of Your Face",2021,85,1500,85.0,0,9150,63740
"A New Old Play",2021,179,612,0,0,2550,9027
"The Pink Cloud",2021,105,1000,69.0,0,650,23733
"The Feast",2021,93,4200,63.0,0,3620,81444
"The Kennedy Incident",2021,101,1200,0,0,4510,8288
"Voodoo Macbeth",2021,108,90,45.0,0,6572,7514
"Hold Your Fire",2021,93,291,82.0,0,3041,7502
"Mau",2021,77,70,0,0,7500,12295
"Alter Ego",2021,74,162,0,0,2538,7390
"Endless Rain",2021,117,510,0,0,2663,3211137
"Final Frequency",2021,91,215,0,0,4735,7098
"The Boonies",2021,97,314,0,0,1006,6887
"The Story of Film: A New Generation",2021,160,889,77.0,0,0,19831
"Italian Studies",2021,81,913,59.0,0,3401,5895
"A Taste of Hunger",2021,104,2200,61.0,0,2847,172566
"Dark State",2021,93,163,0,0,4022,5824
"Introducing, Selma Blair",2021,90,1100,80.0,0,3157,5700
"The Monsters Without",2021,89,32,0,0,3270,5628
"Rock Paper Scissors",2021,95,140,0,1520000,2222,5497
"Things Don't Stay Fixed",2021,100,77,0,0,2561,5430
"A Banquet",2021,97,1500,59.0,0,2641,43327
"Blood Brothers: Civil War",2021,111,107,0,0,1606,5191
"Time Is Up",2021,108,4100,0,0,5095,301388
"Saloum",2021,84,3200,78.0,0,2492,5078
"Heretic",2021,87,101,0,2000,1949,5002
"Mondocane",2021,116,823,45.0,4944900,1674,130762
"Mayday",2021,100,2200,45.0,0,3660,2363134
"The Grandmother",2021,100,5900,0,0,2585,3033653
"a-ha: The Movie",2021,109,1300,56.0,0,0,32518
"Carmen",2021,87,658,66.0,0,0,3927
"Adventures in Success",2021,98,122,0,100000,3645,3695
"Below the Fold",2021,92,312,0,0,2675,3550
"Bloom Up",2021,88,71,0,50000,871,3107
"Highway One",2021,87,84,0,0,1335,3063
"Naked Singularity",2021,93,3200,36.0,0,0,14571
"Landfill",2021,116,141,0,0,1125,3020
"Ultrasound",2021,103,1800,55.0,0,2195,2908
"A Glitch in the Matrix",2021,108,2300,62.0,0,1667,2562
"Stanleyville",2021,89,242,51.0,0,1405,2137
"Agnes",2021,93,1800,65.0,0,1433,506133
"Crack House of the Dead",2021,86,17,0,175000,1287,1616
"Operation Portugal",2021,95,565,0,0,733,3795575
"Venicephrenia",2021,100,3400,0,0,496,543561
"First Signal",2021,102,12000,0,0,565,880
"Dear Rider: The Jake Burton Story",2021,91,354,0,0,322,552
"The Burning Sea",2021,104,8300,46.0,0,371,4025723
"Indemnity",2021,124,567,57.0,0,165,28050
"Boiling Point",2021,92,48000,73.0,820000,0,1426916
"Midnight in the Switchgrass",2021,99,12000,24.0,15000000,0,229811
"Don't Look Up",2021,138,636000,49.0,75000000,0,791863
"Zack Snyder's Justice League",2021,242,454000,54.0,300000000,0,0
"CODA",2021,111,177000,72.0,10000000,0,1905058
"Red Notice",2021,118,337000,37.0,200000000,0,178143
"The Tomorrow War",2021,138,239000,45.0,200000000,0,14400000
"Cherry",2021,142,40000,44.0,40000000,0,0
"Army of the Dead",2021,148,195000,57.0,70000000,0,0
"The Fallout",2021,96,38000,84.0,12000000,0,0
"The Power of the Dog",2021,126,200000,89.0,35000000,0,271009
"Operation Mincemeat",2021,128,40000,65.0,6300000,0,15621194
"The Unforgivable",2021,112,123000,41.0,0,0,13062
"The Sadness",2021,99,23000,68.0,0,0,430254
"The Mitchells vs. the Machines",2021,114,134000,81.0,38000000,0,0
"Cinderella",2021,112,49000,41.0,0,0,42494
"The Colony",2021,104,13000,52.0,0,0,328914
"He's All That",2021,88,30000,36.0,13000000,0,0
"The Harder They Fall",2021,139,74000,68.0,0,0,8292
"The Lost Daughter",2021,121,78000,86.0,0,0,703281
"The Tragedy of Macbeth",2021,105,42000,87.0,0,0,524771
"tick, tick... BOOM!",2021,115,124000,74.0,55000000,0,112777
"The Hand of God",2021,130,52000,76.0,13049974,0,167909
"Kate",2021,106,74000,47.0,25000000,0,0
"The Woman in the Window",2021,100,86000,41.0,40000000,0,0
"The Dig",2021,112,86000,73.0,0,0,693
"Till Death",2021,91,29000,66.0,0,0,594582
"Coming 2 America",2021,110,78000,52.0,60000000,0,0
"Jolt",2021,91,37000,48.0,0,0,238524
"Nitram",2021,112,12000,81.0,0,0,418828
"Silent Night",2021,92,23000,52.0,0,0,438825
"Gunpowder Milkshake",2021,114,54000,47.0,30000000,0,1015760
"The Last Letter from Your Lover",2021,110,24000,57.0,0,0,1451974
"The Vault",2021,118,34000,50.0,0,0,8803864
"Night Teeth",2021,107,23000,42.0,25000000,0,0
"The Misfits",2021,94,15000,25.0,15000000,0,1565302
"Barb and Star Go to Vista Del Mar",2021,107,21000,64.0,0,0,32825
"Warning",2021,86,6300,53.0,0,0,188173
"Stowaway",2021,116,54000,63.0,10000000,0,0
"The Ice Road",2021,109,52000,42.0,0,0,7502846
"The Electrical Life of Louis Wain",2021,111,22000,63.0,0,0,1509173
"Dangerous",2021,99,11000,27.0,8000000,0,164231
"Vivo",2021,95,23000,66.0,0,0,278381
"Fortress",2021,99,5900,0,20000000,0,52169
"Deception",2021,105,1900,42.0,0,0,684798
"Queenpins",2021,110,27000,45.0,7000000,0,1277031
"Blood Red Sky",2021,121,58000,43.0,15000000,0,401834
"The Exorcism of God",2021,98,5800,41.0,1300000,0,6102053
"Annette",2021,141,24000,67.0,16562200,0,3688261
"All Eyes Off Me",2021,88,565,62.0,0,0,1356
"Awake",2021,96,28000,35.0,0,0,154608
"13 Minutes",2021,108,5900,40.0,0,0,67413
"Last Looks",2021,110,13000,49.0,0,0,365644
"The Desperate Hour",2021,84,8300,35.0,0,0,1791800
"Alles op tafel",2021,102,1700,0,496000,0,3128684
"Coming Home in the Dark",2021,93,8400,64.0,0,0,77658
"Wish Dragon",2021,98,36000,59.0,0,0,21120000
"Bull",2021,88,9600,72.0,0,0,17716
"Every Breath You Take",2021,105,7600,32.0,0,0,338771
"Music",2021,107,9400,23.0,16000000,0,645949
"Mona Lisa and the Blood Moon",2021,106,6200,69.0,0,0,123508
"Space Sweepers",2021,136,30000,64.0,0,0,24571
"The Survivor",2021,129,6700,71.0,0,0,219077
"Cosmic Sin",2021,88,16000,9.0,0,0,349757
"The Devil Below",2021,88,6100,0,2650800,0,12008
"JFK Revisited: Through the Looking Glass",2021,118,4600,55.0,0,0,15508
"Die in a Gunfight",2021,92,3800,23.0,0,0,68643
"Diabolik",2021,134,4200,0,8500000,0,3231422
"Breaking News in Yuba County",2021,96,7600,24.0,0,0,187443
"The Virtuoso",2021,110,10000,24.0,0,0,21356
"One Shot",2021,96,7300,39.0,0,0,29439
"Prisoners of the Ghostland",2021,103,15000,53.0,0,0,80425
"Hellbender",2021,86,7300,70.0,0,0,67474
"After Blue",2021,129,1200,56.0,2500000,0,0
"Dashcam",2021,80,7100,48.0,100000,0,66915
"Home Sweet Home Alone",2021,93,22000,35.0,40000000,0,0
"A Hero",2021,127,31000,82.0,0,0,2916932
"Hinterland",2021,98,1800,60.0,0,0,10860
"The United States vs. Billie Holiday",2021,126,15000,52.0,0,0,1312432
"Chernobyl: Abyss",2021,136,11000,0,689000000,0,6459306
"Best Sellers",2021,102,7000,54.0,0,0,336174
"2001: A Space Odyssey",1968,149,749000,84.0,12000000,202759,66810089
"Funny Girl",1968,151,26000,88.0,14100000,65560,52225786
"The Odd Couple",1968,105,39000,86.0,1200000,0,44527234
"Planet of the Apes",1968,112,204000,79.0,5800000,0,32600372
"Hang 'Em High",1968,114,46000,62.0,1600000,0,11000000
"Chitty Chitty Bang Bang",1968,144,53000,64.0,10000000,0,7500578
"Where Eagles Dare",1968,158,65000,63.0,7700000,0,7100435
"Once Upon a Time in the West",1968,166,366000,82.0,5000000,0,5435312
"Coogan's Bluff",1968,94,20000,0,1500000,0,3110000
"Yellow Submarine",1968,85,29000,79.0,250000,107105,1273261
"Bullitt",1968,114,78000,81.0,5500000,408627,511997
"Night of the Living Dead",1968,96,145000,89.0,114000,5452,237994
"I Love You, I Love You",1968,91,3400,0,0,12869,80393
"The Great Silence",1968,105,19000,0,0,8755,60500
"The Queen",1968,68,1400,78.0,0,7173,47818
"The Bride Wore Black",1968,107,11000,0,747000,11206,45263
"Memories of Underdevelopment",1968,97,5000,0,0,8244,33103
"The Lion in Winter",1968,134,35000,0,4000000,5339,20139
"The Chronicle of Anna Magdalena Bach",1968,94,1600,0,0,3453,19112
"Stolen Kisses",1968,91,16000,0,350000,11206,509
"Rosemary's Baby",1968,137,247000,96.0,3200000,0,3288
"Romeo and Juliet",1968,138,36000,69.0,850000,0,6292
"Finian's Rainbow",1968,141,4400,59.0,3500000,0,0
"Barbarella",1968,98,39000,51.0,9000000,0,1489
"Vixen!",1968,70,3400,74.0,26500,0,0
"Oliver!",1968,153,43000,74.0,10000000,0,228
"The Thomas Crown Affair",1968,102,30000,66.0,4300000,0,43050
"The Party",1968,99,45000,64.0,2900000,0,10786
"Ice Station Zebra",1968,148,12000,49.0,8000000,0,76
"Charly",1968,103,7500,50.0,0,0,18530000
"Firecreek",1968,104,4200,65.0,2500000,0,0
"Blackbeard's Ghost",1968,106,7100,71.0,0,0,21540050
"Rachel, Rachel",1968,101,4300,74.0,700000,0,589
"The Boston Strangler",1968,116,11000,66.0,4100000,0,9439
"Shame",1968,103,16000,0,2800000,0,1798
"Faces",1968,130,12000,88.0,275000,0,7236
"Destroy All Monsters",1968,88,8200,0,200000000,0,472
"Pretty Poison",1968,89,4400,0,1800000,0,166
"Shalako",1968,113,3600,51.0,1455000,0,0
"The Night They Raided Minsky's",1968,99,1900,67.0,3000000,0,0
"Secret Ceremony",1968,109,2800,0,3200000,0,580
"Fando and Lis",1968,93,6500,0,100000,0,1897
"Monterey Pop",1968,78,5200,77.0,0,1524,0
"Boom!",1968,110,1900,0,10000000,0,322
"Speedway",1968,94,2900,53.0,1500000,0,0
"Love Me Once Again",1968,93,37,0,12000000,0,1675
"Rogue One: A Star Wars Story",2016,133,710000,65.0,200000000,155081681,1058684742
"Finding Dory",2016,97,318000,77.0,200000000,135060273,1029266989
"Captain America: Civil War",2016,147,883000,75.0,250000000,179139142,1155046416
"The Secret Life of Pets",2016,86,226000,61.0,75000000,104352905,875698161
"The Jungle Book",2016,106,298000,77.0,175000000,103261464,967724775
"Deadpool",2016,108,1200000,65.0,58000000,132434639,782837347
"Zootopia",2016,108,576000,78.0,150000000,75063401,1025521689
"Batman v Superman: Dawn of Justice",2016,151,769000,44.0,250000000,166007347,874362803
"Suicide Squad",2016,123,739000,40.0,175000000,133682248,749200054
"Sing",2016,108,202000,59.0,75000000,35258145,634338409
"Moana",2016,107,411000,81.0,150000000,56631401,643332467
"Fantastic Beasts and Where to Find Them",2016,132,523000,66.0,180000000,74403387,816037575
"Doctor Strange",2016,115,838000,72.0,165000000,85058311,677796833
"Hidden Figures",2016,127,272000,74.0,25000000,515499,235957472
"Jason Bourne",2016,123,249000,58.0,120000000,59215365,415484914
"Star Trek Beyond",2016,122,264000,68.0,185000000,59253211,343471816
"X-Men: Apocalypse",2016,144,477000,52.0,178000000,65769562,543934105
"Trolls",2016,92,96000,55.0,125000000,46581142,347337803
"La La Land",2016,128,714000,94.0,30000000,881104,509183536
"Kung Fu Panda 3",2016,95,203000,66.0,145000000,41282042,521170825
"Split",2016,117,587000,63.0,9000000,40010975,278454417
"Ghostbusters",2016,117,253000,60.0,144000000,46018755,229147509
"Central Intelligence",2016,107,225000,52.0,50000000,35535250,216940871
"The Legend of Tarzan",2016,110,193000,44.0,180000000,38527856,357243061
"Sully",2016,96,310000,74.0,60000000,35028301,243870033
"Bad Moms",2016,100,138000,60.0,20000000,23817340,183936074
"The Angry Birds Movie",2016,97,110000,43.0,73000000,38155177,352333929
"Independence Day: Resurgence",2016,120,194000,32.0,165000000,41039944,389681935
"The Conjuring 2",2016,134,317000,65.0,40000000,40406314,322811702
"Arrival",2016,116,811000,81.0,47000000,24074047,212758656
"Passengers",2016,116,472000,41.0,110000000,14869736,303144152
"Sausage Party",2016,89,218000,66.0,19000000,34263534,140705322
"The Magnificent Seven",2016,132,236000,54.0,90000000,34703397,162360695
"Ride Along 2",2016,102,65000,32.0,40000000,35243095,124608438
"Don't Breathe",2016,88,316000,71.0,9900000,26411706,157761002
"Miss Peregrine's Home for Peculiar Children",2016,127,200000,57.0,110000000,28871140,296482446
"The Accountant",2016,128,340000,51.0,44000000,24710273,155560045
"Teenage Mutant Ninja Turtles: Out of the Shadows",2016,112,103000,40.0,135000000,35316382,245623848
"The Purge: Election Year",2016,108,115000,55.0,10000000,31515110,118587880
"Alice Through the Looking Glass",2016,113,128000,34.0,170000000,26858726,299820798
"Pete's Dragon",2016,102,63000,71.0,65000000,21514095,143695338
"The Girl on the Train",2016,112,205000,48.0,45000000,24536265,173185859
"Boo! A Madea Halloween",2016,103,9700,30.0,20000000,28501448,74827344
"Storks",2016,87,70000,56.0,70000000,21311407,183800603
"10 Cloverfield Lane",2016,103,369000,76.0,15000000,24727437,110216998
"Lights Out",2016,81,147000,58.0,4900000,21688103,149368835
"Hacksaw Ridge",2016,139,632000,71.0,40000000,15190758,180563636
"Allegiant",2016,120,140000,33.0,110000000,29027348,179246868
"Now You See Me 2",2016,129,336000,46.0,90000000,22383146,334897606
"Ice Age: Collision Course",2016,94,80000,34.0,105000000,21373064,408754975
"The Boss",2016,99,50000,40.0,29000000,23586645,78844582
"London Has Fallen",2016,99,175000,28.0,60000000,21635601,205754447
"Miracles from Heaven",2016,109,30000,44.0,13000000,14812393,74072344
"Deepwater Horizon",2016,107,190000,68.0,110000000,20223544,121790373
"Why Him?",2016,111,130000,39.0,38000000,11002986,118102725
"My Big Fat Greek Wedding 2",2016,94,37000,37.0,18000000,17861950,90632641
"Jack Reacher: Never Go Back",2016,118,184000,47.0,60000000,22872490,162146076
"Fences",2016,139,121000,79.0,24000000,129462,64414761
"Me Before You",2016,110,308000,51.0,20000000,18723269,208445075
"The BFG",2016,117,96000,66.0,140000000,18775350,195243411
"Neighbors 2: Sorority Rising",2016,92,134000,58.0,35000000,21760405,108007109
"The Shallows",2016,86,149000,59.0,17000000,16800868,119100758
"Office Christmas Party",2016,105,91000,42.0,45000000,16890204,114501299
"Assassin's Creed",2016,115,214000,36.0,125000000,10278225,240697856
"Barbershop: The Next Cut",2016,111,17000,67.0,20000000,20242415,55658961
"13 Hours: The Secret Soldiers of Benghazi",2016,144,170000,48.0,50000000,16194738,69411370
"Lion",2016,118,259000,69.0,12000000,123360,140853810
"The Huntsman: Winter's War",2016,114,123000,35.0,115000000,19445035,164989338
"Kubo and the Two Strings",2016,101,142000,84.0,60000000,12608372,76249438
"Manchester by the Sea",2016,137,330000,96.0,9000000,256498,78988148
"Warcraft",2016,123,288000,32.0,160000000,24166110,439048914
"How to Be Single",2016,110,97000,51.0,38000000,17878911,112543513
"Mike and Dave Need Wedding Dates",2016,98,98000,51.0,33000000,16628170,77068246
"The Great Wall",2016,103,153000,42.0,150000000,18469620,334933831
"War Dogs",2016,114,275000,57.0,40000000,14685305,86434523
"Almost Christmas",2016,111,8800,55.0,17000000,15134235,42580920
"Money Monster",2016,98,109000,55.0,27000000,14788157,93282604
"Allied",2016,124,175000,60.0,85000000,12701743,119520023
"Nerve",2016,96,144000,58.0,19000000,9445456,85251425
"Risen",2016,107,32000,51.0,20000000,11801271,46771565
"The Nice Guys",2016,116,392000,70.0,50000000,11203270,71261763
"The Boy",2016,97,105000,42.0,10000000,10778392,73929392
"Dirty Grandpa",2016,102,138000,21.0,25000000,11111875,94073028
"Ouija: Origin of Evil",2016,99,79000,65.0,9000000,14065500,81705746
"The 5th Wave",2016,112,121000,33.0,38000000,10326356,109906372
"Inferno",2016,121,195000,42.0,75000000,14860425,220021259
"Monster Trucks",2016,104,20000,41.0,125000000,10950705,64493915
"Mother's Day",2016,118,41000,18.0,25000000,8369184,48782670
"Patriots Day",2016,133,118000,69.0,45000000,161306,52185751
"Gods of Egypt",2016,127,130000,25.0,140000000,14123903,150680864
"Collateral Beauty",2016,97,107000,23.0,36000000,7102085,88616021
"Hail, Caesar!",2016,106,146000,72.0,22000000,11355225,63945241
"Underworld: Blood Wars",2016,91,83000,23.0,35000000,13688751,81093313
"When the Bough Breaks",2016,107,8400,28.0,10000000,14202323,30658387
"Zoolander 2",2016,101,79000,34.0,50000000,13841146,56722693
"Moonlight",2016,111,341000,99.0,4000000,402075,65172611
"The Finest Hours",2016,117,73000,58.0,80000000,10288932,52099090
"Florence Foster Jenkins",2016,111,61000,71.0,29000000,6601313,49052787
"Hell or High Water",2016,102,264000,88.0,12000000,621329,37999675
"Resident Evil: The Final Chapter",2016,107,104000,49.0,40000000,13601682,312242626
"The Forest",2016,93,47000,34.0,10000000,12741176,39712000
"Ben-Hur",2016,123,48000,38.0,100000000,11203815,94061311
"Leap!",2016,89,25000,48.0,30000000,181091,109573511
"Bridget Jones's Baby",2016,123,87000,59.0,35000000,8571785,211952420
"Kevin Hart: What Now?",2016,96,10000,60.0,9900000,11767210,23591043
"Whiskey Tango Foxtrot",2016,112,58000,57.0,35000000,7450275,24972139
"Snowden",2016,134,168000,58.0,40000000,8000058,37357216
"Mechanic: Resurrection",2016,98,98000,38.0,40000000,7456525,125729635
"Free State of Jones",2016,139,66000,53.0,50000000,7572206,25035950
"Blair Witch",2016,89,51000,47.0,5000000,9576057,45173154
"God's Not Dead 2",2016,120,14000,22.0,5000000,7623662,24487848
"Keanu",2016,100,54000,63.0,15000000,9453224,20749853
"Middle School: The Worst Years of My Life",2016,92,10000,51.0,8500000,6878437,23316139
"Nine Lives",2016,87,25000,11.0,30000000,6249915,57814445
"Race",2016,134,43000,56.0,35000000,7353922,25070261
"The Choice",2016,111,48000,26.0,0,6050443,23079932
"Bad Santa 2",2016,92,30000,38.0,26000000,6176680,24079268
"Norm of the North",2016,90,10000,21.0,7000000,6844137,30734502
"The Birth of a Nation",2016,120,22000,69.0,8500000,7004254,16779212
"A Beautiful Planet",2016,46,1500,75.0,0,223983,26285301
"The Infiltrator",2016,127,82000,66.0,28000000,5303775,21011110
"Keeping Up with the Joneses",2016,105,70000,34.0,40000000,5461475,29918745
"Criminal",2016,113,73000,36.0,31500000,5767278,38803993
"The Edge of Seventeen",2016,104,146000,77.0,9000000,4754215,19370020
"Love & Friendship",2016,90,27000,87.0,3000000,133513,21401949
"Jackie",2016,100,85000,81.0,9000000,278715,29778202
"Born in China",2016,79,4200,57.0,10000000,4790367,25081168
"Hillary's America: The Secret History of the Democratic Party",2016,106,8100,2.0,5000000,74814,13099931
"The Founder",2016,115,191000,66.0,25000000,3404102,24121245
"Triple 9",2016,115,80000,52.0,20000000,6109085,23177948
"The Light Between Oceans",2016,133,62000,60.0,20000000,4765838,25975621
"Dangal",2016,161,223000,0,700000000,3248481,303726694
"Fifty Shades of Black",2016,92,24000,28.0,5000000,5900528,22227514
"No Manches Frida",2016,114,2800,0,0,3676235,23540937
"Café Society",2016,96,83000,64.0,30000000,359289,43763247
"Pride and Prejudice and Zombies",2016,108,62000,45.0,28000000,5324240,16457494
"The Darkness",2016,92,17000,27.0,4000000,4950859,10898293
"Nocturnal Animals",2016,116,327000,67.0,22500000,492648,30311857
"Live by Night",2016,129,61000,49.0,65000000,33336,22778555
"The Belko Experiment",2016,89,63000,44.0,5000000,4137230,11084630
"The Perfect Match",2016,96,4500,41.0,5000000,4294232,10414738
"Popstar: Never Stop Never Stopping",2016,87,71000,68.0,20000000,4698715,9680029
"Rock Dog",2016,90,6200,48.0,60000000,3704749,23270926
"Meet the Blacks",2016,94,38000,26.0,900000,4055940,9097072
"Queen of Katwe",2016,124,19000,73.0,15000000,304933,10368126
"Ratchet & Clank",2016,94,12000,29.0,20000000,4869278,13385737
"The Lost City of Z",2016,141,102000,78.0,30000000,110175,19263938
"The Promise",2016,133,179000,49.0,90000000,4095718,12448676
"A Cure for Wellness",2016,146,115000,47.0,40000000,4356941,26620002
"The Wild Life",2016,91,6800,36.0,13000000,3342696,40075446
"Loving",2016,123,38000,79.0,9000000,159615,12957265
"Gold",2016,120,72000,49.0,20000000,3471316,14880939
"I Am Not Your Negro",2016,93,24000,95.0,0,686378,8345298
"Silence",2016,161,127000,79.0,46000000,130880,23834809
"Birth of the Dragon",2016,95,9100,35.0,31000000,2702430,7215027
"Shut In",2016,91,15000,25.0,10000000,3613567,13082071
"The Brothers Grimsby",2016,83,115000,44.0,35000000,3258327,27979040
"The Young Messiah",2016,111,4000,33.0,18500000,3294876,7330338
"Southside with You",2016,84,10000,74.0,1500000,2868403,6628603
"Lowriders",2016,98,2800,57.0,5000000,2403885,6312033
"Sultan",2016,170,55000,0,13430000,2371100,98251790
"Maudie",2016,115,24000,65.0,4993020,45920,11534327
"Captain Fantastic",2016,118,243000,72.0,5000000,93824,23149206
"20th Century Women",2016,119,51000,83.0,7000000,111200,7214806
"Paris Can Wait",2016,92,10000,48.0,5000000,98850,13203541
"Hunt for the Wilderpeople",2016,101,147000,81.0,0,78439,38560308
"Bleed for This",2016,117,32000,62.0,6000000,2366810,6698679
"Your Name.",2016,106,352000,81.0,370000000,1813781,405340703
"Incarnate",2016,87,14000,30.0,5000000,2534884,9037058
"Absolutely Fabulous: The Movie",2016,91,14000,59.0,0,1861118,39219109
"Hands of Stone",2016,111,18000,54.0,20000000,1751388,4978353
"Don't Think Twice",2016,92,19000,83.0,0,92835,4417667
"Ae Dil Hai Mushkil",2016,158,27000,40.0,0,2190042,31668920
"A Hologram for the King",2016,98,48000,58.0,30000000,1138578,9169507
"Swiss Army Man",2016,97,137000,64.0,3000000,105453,4935501
"Denial",2016,109,24000,63.0,10000000,93728,7994527
"Sleight",2016,89,9400,62.0,250000,1701785,3989705
"Morgan",2016,92,48000,48.0,8000000,2012709,8809407
"Kabali",2016,153,15000,0,1250000000,2157621,4388789
"A United Kingdom",2016,111,17000,65.0,14000000,66510,14459330
"Max Steel",2016,92,21000,22.0,10000000,2182216,6272403
"Norman",2016,118,6700,75.0,0,99211,6217567
"Batman: The Killing Joke",2016,76,63000,0,3500000,0,4462034
"Friend Request",2016,92,28000,31.0,9900000,2002863,10975390
"A Monster Calls",2016,108,96000,76.0,43000000,30909,47309313
"Midnight Special",2016,112,85000,76.0,18000000,190012,7112282
"Rules Don't Apply",2016,127,12000,60.0,25000000,1589625,3885342
"Their Finest",2016,117,22000,76.0,10000000,76197,12597262
"Miss Sloane",2016,132,86000,64.0,13000000,59797,9102164
"Indignation",2016,110,13000,78.0,0,93125,3924527
"Everybody Wants Some!!",2016,117,62000,85.0,10000000,312355,4644472
"Sing Street",2016,106,104000,79.0,0,63573,13624522
"The Mermaid",2016,94,11000,69.0,60720000,985052,553810228
"The Eagle Huntress",2016,87,4300,72.0,0,52574,4404734
"Our Kind of Traitor",2016,108,25000,57.0,0,984698,10711027
"Compadres",2016,101,1200,28.0,3000000,1397434,7353544
"Colossal",2016,109,71000,70.0,15000000,120226,4531320
"The Other Side of the Door",2016,96,20000,41.0,0,1211210,14332467
"Anthropoid",2016,120,57000,59.0,0,1233519,5079219
"The Beatles: Eight Days a Week - The Touring Years",2016,106,14000,72.0,0,785336,13737240
"Kedi",2016,79,16000,78.0,0,40103,5037923
"Kapoor & Sons",2016,132,29000,0,0,986992,17412627
"LBJ",2016,98,8000,54.0,26000000,1110565,2510151
"The Disappointments Room",2016,91,11000,31.0,15000000,1402823,5745040
"The Salesman",2016,124,67000,85.0,0,71078,6953604
"Hillsong: Let Hope Rise",2016,103,928,43.0,800000,1357243,2649761
"Dear Zindagi",2016,151,45000,0,0,977862,12468188
"Elle",2016,130,73000,89.0,9000000,50934,12449281
"A Aa",2016,152,4100,0,350000000,1213057,2313043
"Fan",2016,142,51000,0,15670000,1382871,28240000
"Collide",2016,99,18000,33.0,21500000,1512824,6817535
"The Patriarch",2016,94,1300,0,0,978894,6156936
"Paterson",2016,118,92000,90.0,5000000,69335,9595362
"Train to Busan",2016,118,281000,73.0,10000000000,284776,92767524
"I'm Not Ashamed",2016,112,4400,31.0,1500000,927161,2082980
"The Handmaiden",2016,145,186000,85.0,10000000000,92129,37863670
"Greater",2016,130,9300,35.0,9000000,627974,2000620
"Shin Godzilla",2016,120,41000,67.0,0,458342,78053145
"A Quiet Passion",2016,125,6500,78.0,6900000,45825,4159246
"M.S. Dhoni: The Untold Story",2016,184,71000,0,0,1108650,28903047
"Free Fire",2016,91,52000,63.0,5500000,994431,3719383
"Find a Boyfriend for My Wife... PLEASE!",2016,92,534,0,0,902457,4570757
"Billy Lynn's Long Halftime Walk",2016,113,25000,53.0,40000000,114129,30930984
"Weiner",2016,96,11000,84.0,0,84173,1715955
"The Comedian",2016,120,8300,40.0,15000000,10723,1659002
"Equity",2016,100,3900,68.0,1800000,82434,1672306
"Neerja",2016,122,24000,0,2900000,626528,17618280
"Priceless",2016,97,4300,41.0,0,707021,1499605
"Julieta",2016,99,35000,73.0,1350000,64044,22521904
"Toni Erdmann",2016,162,53000,93.0,3000000,15972,12002864
"The Wedding Plan",2016,110,1600,72.0,0,31658,1542345
"Genius",2016,104,22000,56.0,0,98274,7435006
"The Neon Demon",2016,117,107000,51.0,7000000,589014,3073700
"Housefull 3",2016,140,11000,0,0,683620,17014507
"Personal Shopper",2016,105,45000,77.0,6000000,79175,2840408
"Mohenjo Daro",2016,155,13000,39.0,0,747791,1630231
"The Women's Balcony",2016,96,870,74.0,0,16620,1272517
"Vaxxed: From Cover-Up to Catastrophe",2016,91,5300,24.0,0,28339,1163265
"Lady Macbeth",2016,89,29000,76.0,500000,64537,5343632
"Wazir",2016,103,20000,0,0,586028,5633588
"Certain Women",2016,107,16000,82.0,0,60898,1531261
"Rustom",2016,148,29000,0,0,773662,1658594
"A Silent Voice: The Movie",2016,130,117000,78.0,0,121732,30819442
"The Innocents",2016,115,12000,78.0,6400000,30896,7400301
"Elvis & Nixon",2016,86,15000,59.0,0,466447,1798432
"Battle for Incheon: Operation Chromite",2016,111,6400,50.0,12620000,31662,2749918
"The Hollars",2016,88,15000,53.0,3800000,38210,1138609
