year,duration,rating,votes,meta_score,budget,opening_weekend_gross,gross_worldwide
2020,100,6.7,61000,48.0,135000000,24791624,111166669
2020,102,7.4,178000,61.0,175000000,39119861,141940042
2020,95,6.9,57000,56.0,65000000,9724200,215905815
2020,150,7.3,626000,69.0,205000000,9353090,365304105
2020,117,8.2,83000,72.0,15000000,21234994,473230408
2020,151,5.4,300000,60.0,200000000,16701957,169601036
2020,109,4.9,61000,22.0,7000000,12310420,49447308
2020,94,5.3,96000,43.0,67000000,7037017,49169594
2020,83,4.7,16000,33.0,29000000,10011272,30399490
2020,94,5.7,26000,34.0,0,3623880,43387638
2020,90,6.0,83000,40.0,33000000,601032,44331465
2020,106,6.1,6400,62.0,16000000,12181865,20690779
2020,95,5.9,103000,48.0,80000000,7008297,40882928
2020,94,3.9,17000,35.0,14000000,6950045,19428166
2020,87,5.5,37000,64.0,5000000,6154007,22304357
2020,103,5.2,71000,47.0,60000000,2201269,42145959
2020,99,6.0,60000,46.0,30000000,0,31220247
2020,108,6.7,55000,66.0,0,8170315,15490514
2020,118,6.8,98000,73.0,38000000,2250430,12668325
2020,86,4.7,22000,29.0,10000000,5823006,20311536
2020,109,5.7,88000,44.0,45000000,9176695,39861118
2020,92,5.7,7500,39.0,3000000,2607049,10691091
2020,96,5.8,19000,58.0,0,3119875,13182254
2020,124,6.7,67000,71.0,10000000,234482,25932444
2020,116,6.5,14000,41.0,12000000,9103614,16069730
2020,113,6.7,37000,63.0,0,4000470,10835686
2020,102,6.3,77000,67.0,5000000,3600355,18073433
2020,86,4.9,14000,49.0,0,4622018,8899195
2020,107,6.4,72000,68.0,0,2859409,15437703
2020,112,7.2,78000,65.0,0,1885829,26001227
2020,113,7.5,223000,72.0,0,719305,18854166
2020,102,5.5,15000,42.0,0,918112,7031289
2020,90,6.6,142000,50.0,14000000,5304455,10550350
2020,109,5.4,20000,45.0,50000000,2715384,5989583
2020,86,6.4,19000,76.0,0,1200013,4998097
2020,91,5.9,24000,65.0,60000000,865824,4810790
2020,109,6.3,11000,57.0,0,1126401,4781389
2020,107,7.3,192000,87.0,5000000,503000,39458207
2020,91,5.9,55000,65.0,0,1125007,6274027
2020,115,7.4,103000,89.0,2000000,193460,15288578
2020,137,6.2,43000,0,0,1310326,4796993
2020,100,4.6,520,0,3300000,1396140,6292780
2020,113,6.9,7400,68.0,0,794741,6572790
2020,119,6.4,9500,41.0,0,920476,3326885
2020,110,7.2,15000,61.0,0,432968,3151849
2020,105,5.1,41000,14.0,0,422899,47990414
2020,96,6.1,4400,30.0,0,700160,3274339
2020,93,5.6,31000,43.0,0,0,28588425
2020,97,8.2,211000,88.0,6000000,0,24048935
2020,88,5.7,41000,62.0,3500000,403852,4311042
2020,95,6.9,15000,74.0,0,25776,14233027
2020,95,5.5,280,0,0,624377,4625869
2020,94,6.2,10000,54.0,0,749635,1736318
2020,101,6.3,10000,29.0,15000000,522937,1349286
2020,116,5.5,40000,51.0,16000000,118647,42698327
2020,94,4.5,511,0,0,274631,1181823
2020,109,6.9,152000,63.0,30000000,270302,1070714
2020,89,6.0,32000,77.0,0,192352,2902552
2020,95,4.9,16000,22.0,20000000,309694,1325781
2020,90,5.8,4300,58.0,0,246491,1035128
2020,93,6.1,27000,54.0,0,209394,1045873
2020,100,8.0,405000,83.0,0,431840,121977511
2020,94,5.3,8900,37.0,2500000,0,2934433
2020,91,6.3,6500,39.0,25000000,370315,1965113
2020,123,4.9,3300,67.0,6500000,243379,864928
2020,100,6.6,15000,52.0,0,298358,864091
2020,169,5.8,9500,0,260,821000,37389889
2020,107,4.7,7000,34.0,0,380428,50866901
2020,103,6.5,50000,72.0,0,252664,911180
2020,113,5.9,9300,56.0,0,0,1556763
2020,143,2.2,14000,0,550000000,509616,16726510
2020,124,6.8,13000,72.0,0,15700,967662
2020,126,6.3,3600,53.0,23000000,164087,11149943
2020,120,5.4,28000,0,0,316781,6532100
2020,80,4.1,2000,26.0,1200000,243508,600734
2020,131,6.8,8100,0,0,285689,4886124
2020,98,6.2,33000,70.0,750000,182473,642502
2020,104,6.4,23000,78.0,0,215675,1285775
2020,84,7.3,4000,84.0,0,0,1515528
2020,97,4.2,5400,0,1500000,138237,1591194
2020,106,5.1,7100,52.0,0,152598,515399
2020,130,8.4,84,0,300000,104798,502252
2020,91,5.5,10000,38.0,0,206591,500104
2020,96,5.5,66000,39.0,0,170349,3293783
2020,91,6.1,31000,51.0,90000000,0,49276818
2020,75,6.8,21,0,0,217927,437625
2020,100,4.3,3600,40.0,0,160371,429148
2020,120,6.3,1200,0,0,78393,413378
2020,135,8.1,119,0,0,243509,613612
2020,86,5.0,7600,81.0,0,84659,398663
2020,91,5.6,4800,68.0,0,181046,383234
2020,149,6.7,7800,64.0,80000000,118161,461421559
2020,117,6.8,37000,69.0,0,119364,15576286
2020,100,7.0,24000,74.0,0,140218,367890
2020,93,3.8,4900,22.0,10000000,263128,575179
2020,94,7.3,1800,76.0,0,139985,353077
2020,86,6.5,11000,62.0,0,144533,1825491
2020,93,5.8,8900,67.0,0,142694,301162
2020,99,5.4,9000,26.0,0,88559,964832
2020,116,7.9,1200,41.0,0,74577,282149
2020,100,5.9,32000,40.0,0,108305,1651413
2020,100,4.8,133,0,0,49130,259323
2020,95,6.9,15000,73.0,0,90096,3415787
2020,104,7.2,5600,83.0,0,84710,921894
2020,102,5.8,13000,42.0,0,95360,1517267
2020,97,5.9,7800,48.0,0,88306,615233
2020,77,7.1,38000,79.0,0,7160,359247
2020,106,5.4,49000,47.0,0,0,29303571
2020,120,7.9,3000,0,0,200000,19252497
2020,98,4.2,671,0,4000000,12361,302335
2020,85,6.2,26000,67.0,2000000,91943,266963
2020,94,5.7,6100,40.0,0,106084,1692494
2020,91,5.4,14000,0,0,79182,4377394
2020,111,6.7,1900,76.0,0,17127,193860
2020,90,7.4,197000,83.0,0,164000,1512871
2020,117,6.5,25000,72.0,10000000,87552,1109287
2020,95,6.1,26000,72.0,0,60379,736153
2020,83,5.0,33000,66.0,10000000,39117,1054290
2020,96,6.5,4100,72.0,3570000,37188,7974769
2020,110,4.8,4000,31.0,0,64911,596806
2020,111,5.7,3900,55.0,6000000,26214,235016
2020,94,5.3,3100,46.0,0,46277,150913
2020,109,6.4,28000,67.0,0,52642,243279
2020,114,5.4,1400,52.0,0,58969,183882
2020,125,6.2,5800,62.0,0,0,153983
2020,107,6.3,20000,81.0,0,65540,2122682
2020,99,5.9,6400,48.0,0,51315,2920431
2020,90,5.0,3700,57.0,0,53678,147757
2020,95,6.4,1300,65.0,5979175,8409,2876321
2020,105,6.4,12000,73.0,0,51245,205878
2020,93,7.1,3100,89.0,0,5023,383128
2020,114,7.0,4600,0,0,16514,34664900
2020,108,6.3,5500,67.0,0,46615,118351
2020,94,6.0,12000,44.0,0,33998,2915266
2020,93,6.3,37000,0,0,53205,170653
2020,95,6.3,16000,67.0,1500000,40366,95384
2020,101,3.9,331,0,0,56747,93298
2020,102,5.1,11000,67.0,5000000,42165,459051
2020,99,6.5,2300,73.0,0,20946,111428
2020,135,6.6,1500,0,0,31174,25818882
